team,team_code,shirt_number,position,player_text,name_on_shirt,dob,club,height_cm,caps,goals,player_key,shirt_key
Argentina,ARG,4,DF,MONTIEL Gonzalo Gonzalo Ariel MONTIEL MONTIEL,MONTIEL MONTIEL,1997-01-01,CA River Plate (ARG),175,39,2,montiel gonzalo gonzalo ariel montiel montiel,montiel montiel
Argentina,ARG,5,MF,PAREDES Leandro Leandro Daniel PAREDES PAREDES,PAREDES PAREDES,1994-06-29,CA Boca Juniors (ARG),182,77,5,paredes leandro leandro daniel paredes paredes,paredes paredes
Argentina,ARG,6,DF,MARTINEZ Lisandro Lisandro MARTÍNEZ MARTÍNEZ,MARTÍNEZ MARTÍNEZ,1998-01-18,Manchester United FC (ENG),175,28,1,martinez lisandro lisandro mart nez mart nez,mart nez mart nez
Argentina,ARG,7,MF,DE PAUL Rodrigo Rodrigo Javier DE PAUL DE PAUL,DE PAUL DE PAUL,1994-05-24,Inter Miami CF (USA),178,87,2,de paul rodrigo rodrigo javier de paul de paul,de paul de paul
Argentina,ARG,8,MF,BARCO Valentin Valentin BARCO BARCO,BARCO BARCO,2004-07-23,RC Strasbourg (FRA),172,4,2,barco valentin valentin barco barco,barco barco
Argentina,ARG,9,FW,ALVAREZ Julian Julián ÁLVAREZ J. ALVAREZ,J. ALVAREZ,2000-01-31,Atlético De Madrid (ESP),170,51,14,alvarez julian juli n lvarez j alvarez,j alvarez
Argentina,ARG,10,FW,MESSI Lionel Lionel Andrés MESSI MESSI,MESSI MESSI,1987-06-24,Inter Miami CF (USA),170,199,117,messi lionel lionel andr s messi messi,messi messi
Argentina,ARG,11,MF,LO CELSO Giovani Giovani LO CELSO LO CELSO,LO CELSO LO CELSO,1996-04-09,Real Betis (ESP),177,67,4,lo celso giovani giovani lo celso lo celso,lo celso lo celso
Argentina,ARG,12,GK,RULLI Geronimo Geronimo RULLI RULLI,RULLI RULLI,1992-05-20,Olympique Marseille (FRA),189,8,0,rulli geronimo geronimo rulli rulli,rulli rulli
Argentina,ARG,13,DF,ROMERO Cristian Cristian Gabriel ROMERO ROMERO,ROMERO ROMERO,1998-04-27,Tottenham Hotspur FC (ENG),185,51,3,romero cristian cristian gabriel romero romero,romero romero
Argentina,ARG,14,MF,PALACIOS Exequiel Exequiel Alejandro PALACIOS PALACIOS,PALACIOS PALACIOS,1998-10-05,Bayer 04 Leverkusen (GER),177,40,0,palacios exequiel exequiel alejandro palacios palacios,palacios palacios
Argentina,ARG,15,MF,GONZALEZ Nico Nicolas Ivan GONZALEZ N. GONZALEZ,N. GONZALEZ,1998-04-06,Atlético De Madrid (ESP),180,51,6,gonzalez nico nicolas ivan gonzalez n gonzalez,n gonzalez
Argentina,ARG,16,FW,ALMADA Thiago Thiago Ezequiel ALMADA ALMADA,ALMADA ALMADA,2001-04-26,Atlético De Madrid (ESP),171,16,5,almada thiago thiago ezequiel almada almada,almada almada
Argentina,ARG,17,FW,SIMEONE Giuliano Giuliano SIMEONE SIMEONE,SIMEONE SIMEONE,2002-12-18,Atlético De Madrid (ESP),174,13,2,simeone giuliano giuliano simeone simeone,simeone simeone
Argentina,ARG,18,FW,PAZ Nico Nicolas PAZ MARTÍNEZ NICO PAZ,PAZ MARTÍNEZ NICO PAZ,2004-09-08,Como (ITA),185,9,1,paz nico nicolas paz mart nez nico paz,paz mart nez nico paz
Argentina,ARG,19,DF,OTAMENDI Nicolas Nicolas Hernan Gonzalo OTAMENDI OTAMENDI,OTAMENDI OTAMENDI,1988-02-12,SL Benca (POR),182,132,8,otamendi nicolas nicolas hernan gonzalo otamendi otamendi,otamendi otamendi
Argentina,ARG,20,MF,MAC ALLISTER Alexis Alexis MAC ALLISTER MAC ALLISTER,MAC ALLISTER MAC ALLISTER,1998-12-24,Liverpool FC (ENG),176,46,6,mac allister alexis alexis mac allister mac allister,mac allister mac allister
Argentina,ARG,21,FW,LOPEZ Jose Manuel Jose Manuel Alberto LOPEZ LOPEZ,LOPEZ LOPEZ,2000-12-06,SE Palmeiras (BRA),190,5,0,lopez jose manuel jose manuel alberto lopez lopez,lopez lopez
Argentina,ARG,22,FW,MARTINEZ Lautaro Lautaro Javier MARTÍNEZ L. MARTINEZ,L. MARTINEZ,1997-08-22,FC Internazionale Milano (ITA),175,77,37,martinez lautaro lautaro javier mart nez l martinez,l martinez
Argentina,ARG,23,GK,MARTINEZ Emiliano Damián Emiliano MARTÍNEZ E. MARTINEZ,E. MARTINEZ,1992-09-02,Aston Villa FC (ENG),195,59,0,martinez emiliano dami n emiliano mart nez e martinez,e martinez
Argentina,ARG,24,MF,FERNANDEZ Enzo Enzo Jeremías FERNÁNDEZ E. FERNANDEZ,E. FERNANDEZ,2001-01-17,Chelsea FC (ENG),178,42,6,fernandez enzo enzo jerem as fern ndez e fernandez,e fernandez
Argentina,ARG,25,DF,MEDINA Facundo Facundo Axel MEDINA MEDINA,MEDINA MEDINA,1999-05-28,Olympique Marseille (FRA),184,9,0,medina facundo facundo axel medina medina,medina medina
Argentina,ARG,26,DF,MOLINA Nahuel Nahuel MOLINA LUCERO MOLINA,MOLINA LUCERO MOLINA,1998-04-06,Atlético De Madrid (ESP),179,58,1,molina nahuel nahuel molina lucero molina,molina lucero molina
Australia,AUS,1,GK,RYAN Mathew Mathew David RYAN RYAN,RYAN RYAN,1992-04-08,Levante UD (ESP),184,104,0,ryan mathew mathew david ryan ryan,ryan ryan
Australia,AUS,2,DF,DEGENEK Milos Milos DEGENEK DEGENEK,DEGENEK DEGENEK,1994-04-28,APOEL FC (CYP),187,57,1,degenek milos milos degenek degenek,degenek degenek
Australia,AUS,3,DF,CIRCATI Alessandro Alessandro CIRCATI CIRCATI,CIRCATI CIRCATI,2003-10-10,Parma (ITA),191,13,1,circati alessandro alessandro circati circati,circati circati
Australia,AUS,4,DF,ITALIANO Jacob Jacob Michael ITALIANO ITALIANO,ITALIANO ITALIANO,2001-07-30,Grazer AK (AUT),177,5,0,italiano jacob jacob michael italiano italiano,italiano italiano
Australia,AUS,5,DF,BOS Jordan Jordan Jacob BOS BOS,BOS BOS,2002-10-29,Feyenoord Rotterdam (NED),180,27,4,bos jordan jordan jacob bos bos,bos bos
Australia,AUS,6,DF,GERIA Jason Jason Kato GERIA GERIA,GERIA GERIA,1993-05-10,Albirex Niigata (JPN),181,14,0,geria jason jason kato geria geria,geria geria
Australia,AUS,7,FW,LECKIE Mathew Mathew Allan LECKIE LECKIE,LECKIE LECKIE,1991-02-04,Melbourne City FC (AUS),181,81,14,leckie mathew mathew allan leckie leckie,leckie leckie
Australia,AUS,8,MF,METCALFE Connor Connor Isaac METCALFE METCALFE,METCALFE METCALFE,1999-11-05,FC St. Pauli (GER),183,36,1,metcalfe connor connor isaac metcalfe metcalfe,metcalfe metcalfe
Australia,AUS,9,FW,TOURE Mohamed Mohamed A TOURE TOURE,A TOURE TOURE,2004-03-26,Norwich City FC (ENG),186,10,2,toure mohamed mohamed a toure toure,a toure toure
Australia,AUS,10,FW,HRUSTIC Ajdin Ajdin HRUSTIC HRUSTIC,HRUSTIC HRUSTIC,1996-07-05,SC Heracles Almelo (NED),180,37,3,hrustic ajdin ajdin hrustic hrustic,hrustic hrustic
Australia,AUS,11,FW,MABIL Awer Awer Bul MABIL MABIL,MABIL MABIL,1995-09-15,CD Castellón (ESP),178,38,10,mabil awer awer bul mabil mabil,mabil mabil
Australia,AUS,12,GK,IZZO Paul Paul David IZZO IZZO,IZZO IZZO,1995-01-06,Randers FC (DEN),184,4,0,izzo paul paul david izzo izzo,izzo izzo
Australia,AUS,13,MF,ONEILL Aiden Aiden Connor O'NEILL O'NEILL,O'NEILL O'NEILL,1998-07-04,New York City FC (USA),180,31,0,oneill aiden aiden connor o neill o neill,o neill o neill
Australia,AUS,14,MF,DEVLIN Cameron Cameron Peter DEVLIN DEVLIN,DEVLIN DEVLIN,1998-06-07,Heart Of Midlothian FC (SCO),170,5,0,devlin cameron cameron peter devlin devlin,devlin devlin
Australia,AUS,15,DF,TREWIN Kai Kai Clifton TREWIN TREWIN,TREWIN TREWIN,2001-05-18,New York City FC (USA),183,6,0,trewin kai kai clifton trewin trewin,trewin trewin
Australia,AUS,16,DF,BEHICH Aziz Aziz BEHICH BEHICH,BEHICH BEHICH,1990-12-16,Melbourne City FC (AUS),170,84,3,behich aziz aziz behich behich,behich behich
Australia,AUS,17,FW,IRANKUNDA Nestory Nestory IRANKUNDA IRANKUNDA,IRANKUNDA IRANKUNDA,2006-02-09,Watford FC (ENG),165,15,5,irankunda nestory nestory irankunda irankunda,irankunda irankunda
Australia,AUS,18,GK,BEACH Patrick Patrick Thomas BEACH BEACH,BEACH BEACH,2003-08-06,Melbourne City FC (AUS),189,2,0,beach patrick patrick thomas beach beach,beach beach
Australia,AUS,19,DF,SOUTTAR Harry Harry James SOUTTAR SOUTTAR,SOUTTAR SOUTTAR,1998-10-22,Leicester City FC (ENG),198,38,11,souttar harry harry james souttar souttar,souttar souttar
Australia,AUS,20,FW,VOLPATO Cristian Cristian VOLPATO VOLPATO,VOLPATO VOLPATO,2003-11-15,US Sassuolo (ITA),187,1,0,volpato cristian cristian volpato volpato,volpato volpato
Australia,AUS,21,DF,BURGESS Cameron Cameron Robert BURGESS BURGESS,BURGESS BURGESS,1995-10-21,Swansea City AFC (WAL),194,27,0,burgess cameron cameron robert burgess burgess,burgess burgess
Australia,AUS,22,MF,IRVINE Jackson Jackson Alexander IRVINE IRVINE,IRVINE IRVINE,1993-03-07,FC St. Pauli (GER),189,82,14,irvine jackson jackson alexander irvine irvine,irvine irvine
Australia,AUS,23,FW,VELUPILLAY Nishan Nishan Matthew VELUPILLAY VELUPILLAY,VELUPILLAY VELUPILLAY,2001-05-07,Melbourne Victory FC (AUS),181,7,3,velupillay nishan nishan matthew velupillay velupillay,velupillay velupillay
Australia,AUS,24,MF,OKON-ENGSTLER Paul Paul Michael Junior OKON-ENGSTLER OKON-ENGSTLER,OKON-ENGSTLER OKON-ENGSTLER,2005-01-24,Sydney FC (AUS),185,6,0,okon engstler paul paul michael junior okon engstler okon engstler,okon engstler okon engstler
Australia,AUS,25,DF,HERRINGTON Lucas Lucas HERRINGTON HERRINGTON,HERRINGTON HERRINGTON,2007-09-05,Colorado Rapids (USA),193,4,0,herrington lucas lucas herrington herrington,herrington herrington
Australia,AUS,26,FW,YENGI Tete Tete Owen YENGI YENGI,YENGI YENGI,2000-11-28,FC Machida Zelvia (JPN),197,1,1,yengi tete tete owen yengi yengi,yengi yengi
Austria,AUT,1,GK,SCHLAGER Alexander Alexander SCHLAGER SCHLAGER,SCHLAGER SCHLAGER,1996-02-01,FC Red Bull Salzburg (AUT),188,26,0,schlager alexander alexander schlager schlager,schlager schlager
Austria,AUT,2,DF,AFFENGRUBER David David Leopold AFFENGRUBER AFFENGRUBER,AFFENGRUBER AFFENGRUBER,2001-03-19,Elche CF (ESP),185,1,0,affengruber david david leopold affengruber affengruber,affengruber affengruber
Austria,AUT,3,DF,DANSO Kevin Kevin DANSO DANSO,DANSO DANSO,1998-09-19,Tottenham Hotspur FC (ENG),190,32,0,danso kevin kevin danso danso,danso danso
Austria,AUT,4,MF,SCHLAGER Xaver Xaver SCHLAGER XAVER,SCHLAGER XAVER,1997-09-28,RB Leipzig (GER),174,51,4,schlager xaver xaver schlager xaver,schlager xaver
Austria,AUT,5,DF,POSCH Stefan Stefan POSCH POSCH,POSCH POSCH,1997-05-14,1. FSV Mainz 05 (GER),188,52,5,posch stefan stefan posch posch,posch posch
Austria,AUT,6,MF,SEIWALD Nicolas Nicolas SEIWALD SEIWALD,SEIWALD SEIWALD,2001-05-04,RB Leipzig (GER),179,47,1,seiwald nicolas nicolas seiwald seiwald,seiwald seiwald
Austria,AUT,7,FW,ARNAUTOVIC Marko Marko ARNAUTOVIC ARNAUTOVIC,ARNAUTOVIC ARNAUTOVIC,1989-04-19,FK Crvena Zvezda (SRB),192,133,47,arnautovic marko marko arnautovic arnautovic,arnautovic arnautovic
Austria,AUT,8,DF,ALABA David David ALABA ALABA,ALABA ALABA,1992-06-24,Real Madrid C. F. (ESP),180,113,15,alaba david david alaba alaba,alaba alaba
Austria,AUT,9,MF,SABITZER Marcel Marcel SABITZER SABITZER,SABITZER SABITZER,1994-03-17,Borussia Dortmund (GER),178,98,26,sabitzer marcel marcel sabitzer sabitzer,sabitzer sabitzer
Austria,AUT,10,MF,GRILLITSCH Florian Florian GRILLITSCH GRILLITSCH,GRILLITSCH GRILLITSCH,1995-08-07,SC Braga (POR),186,59,1,grillitsch florian florian grillitsch grillitsch,grillitsch grillitsch
Austria,AUT,11,FW,GREGORITSCH Michael Michael GREGORITSCH GREGORITSCH,GREGORITSCH GREGORITSCH,1994-04-18,FC Augsburg (GER),193,75,24,gregoritsch michael michael gregoritsch gregoritsch,gregoritsch gregoritsch
Austria,AUT,12,GK,WIEGELE Florian Florian WIEGELE WIEGELE,WIEGELE WIEGELE,2001-03-21,FC Viktoria Plzeň (CZE),205,1,0,wiegele florian florian wiegele wiegele,wiegele wiegele
Austria,AUT,13,GK,PENTZ Patrick Patrick PENTZ PENTZ,PENTZ PENTZ,1997-01-02,Brøndby IF (DEN),183,18,0,pentz patrick patrick pentz pentz,pentz pentz
Austria,AUT,14,FW,KALAJDZIC Sasa Saša KALAJDŽIĆ KALAJDZIC,KALAJDŽIĆ KALAJDZIC,1997-07-07,LASK Linz (AUT),200,22,4,kalajdzic sasa sa a kalajd i kalajdzic,kalajd i kalajdzic
Austria,AUT,15,DF,LIENHART Philipp Philipp LIENHART LIENHART,LIENHART LIENHART,1996-07-11,SC Freiburg (GER),189,41,3,lienhart philipp philipp lienhart lienhart,lienhart lienhart
Austria,AUT,16,DF,MWENE Phillip Phillip MWENE MWENE,MWENE MWENE,1994-01-29,1. FSV Mainz 05 (GER),170,30,0,mwene phillip phillip mwene mwene,mwene mwene
Austria,AUT,17,MF,CHUKWUEMEKA Carney Carney Chibueze CHUKWUEMEKA CHUKWUEMEKA,CHUKWUEMEKA CHUKWUEMEKA,2003-10-20,Borussia Dortmund (GER),187,3,1,chukwuemeka carney carney chibueze chukwuemeka chukwuemeka,chukwuemeka chukwuemeka
Austria,AUT,18,MF,SCHMID Romano Romano SCHMID SCHMID,SCHMID SCHMID,2000-01-27,SV Werder Bremen (GER),168,34,3,schmid romano romano schmid schmid,schmid schmid
Austria,AUT,19,MF,LJUBICIC Dejan Dejan LJUBIČIĆ LJUBICIC,LJUBIČIĆ LJUBICIC,1997-10-08,FC Schalke 04 (GER),187,9,1,ljubicic dejan dejan ljubi i ljubicic,ljubi i ljubicic
Austria,AUT,20,MF,LAIMER Konrad Konrad LAIMER LAIMER,LAIMER LAIMER,1997-05-27,FC Bayern München (GER),180,57,7,laimer konrad konrad laimer laimer,laimer laimer
Austria,AUT,21,FW,WIMMER Patrick Patrick WIMMER WIMMER,WIMMER WIMMER,2001-05-30,VfL Wolfsburg (GER),182,30,1,wimmer patrick patrick wimmer wimmer,wimmer wimmer
Austria,AUT,22,MF,PRASS Alexander Alexander PRASS PRASS,PRASS PRASS,2001-05-26,TSG Hoffenheim (GER),180,19,0,prass alexander alexander prass prass,prass prass
Austria,AUT,23,DF,FRIEDL Marco Marco FRIEDL FRIEDL,FRIEDL FRIEDL,1998-03-16,SV Werder Bremen (GER),187,11,0,friedl marco marco friedl friedl,friedl friedl
Austria,AUT,24,MF,WANNER Paul Paul WANNER WANNER,WANNER WANNER,2005-12-23,PSV Eindhoven (NED),185,3,0,wanner paul paul wanner wanner,wanner wanner
Austria,AUT,25,DF,SVOBODA Michael Michael SVOBODA SVOBODA,SVOBODA SVOBODA,1998-10-15,Venezia FC (ITA),195,4,0,svoboda michael michael svoboda svoboda,svoboda svoboda
Austria,AUT,26,MF,SCHOEPF Alessandro Alessandro Andre SCHÖPF SCHÖPF,SCHÖPF SCHÖPF,1994-02-07,Wolfsberger AC (AUT),178,35,6,schoepf alessandro alessandro andre sch pf sch pf,sch pf sch pf
Belgium,BEL,1,GK,COURTOIS Thibaut Thibaut Nicolas M COURTOIS COURTOIS,M COURTOIS COURTOIS,1992-05-11,Real Madrid C. F. (ESP),199,109,0,courtois thibaut thibaut nicolas m courtois courtois,m courtois courtois
Belgium,BEL,2,DF,DEBAST Zeno Zeno Koen DEBAST DEBAST,DEBAST DEBAST,2003-10-24,Sporting CP (POR),189,26,1,debast zeno zeno koen debast debast,debast debast
Belgium,BEL,3,DF,THEATE Arthur Arthur Nicolas R THEATE THEATE,R THEATE THEATE,2000-05-25,Eintracht Frankfurt (GER),185,33,1,theate arthur arthur nicolas r theate theate,r theate theate
Belgium,BEL,4,DF,MECHELE Brandon Brandon Erik MECHELE MECHELE,MECHELE MECHELE,1993-01-28,Club Brugge (BEL),190,9,1,mechele brandon brandon erik mechele mechele,mechele mechele
Belgium,BEL,5,DF,DE CUYPER Maxim Maxim Peter M DE CUYPER DE CUYPER,M DE CUYPER DE CUYPER,2000-12-22,Brighton & Hove Albion FC (ENG),182,19,4,de cuyper maxim maxim peter m de cuyper de cuyper,m de cuyper de cuyper
Belgium,BEL,6,MF,WITSEL Axel Axel Laurent A WITSEL WITSEL,A WITSEL WITSEL,1989-01-12,Girona FC (ESP),186,138,12,witsel axel axel laurent a witsel witsel,a witsel witsel
Belgium,BEL,7,MF,DE BRUYNE Kevin Kevin DE BRUYNE DE BRUYNE,DE BRUYNE DE BRUYNE,1991-06-28,SSC Napoli (ITA),181,119,37,de bruyne kevin kevin de bruyne de bruyne,de bruyne de bruyne
Belgium,BEL,8,MF,TIELEMANS Youri Youri Marion A TIELEMANS TIELEMANS,A TIELEMANS TIELEMANS,1997-05-07,Aston Villa FC (ENG),176,85,13,tielemans youri youri marion a tielemans tielemans,a tielemans tielemans
Belgium,BEL,9,FW,LUKAKU Romelu Romelu LUKAKU BOLINGOLI LUKAKU,LUKAKU BOLINGOLI LUKAKU,1993-05-13,SSC Napoli (ITA),190,126,90,lukaku romelu romelu lukaku bolingoli lukaku,lukaku bolingoli lukaku
Belgium,BEL,10,FW,TROSSARD Leandro Leandro TROSSARD TROSSARD,TROSSARD TROSSARD,1994-12-04,Arsenal FC (ENG),172,51,12,trossard leandro leandro trossard trossard,trossard trossard
Belgium,BEL,11,FW,DOKU Jeremy Jeremy Baffour DOKU DOKU,DOKU DOKU,2002-05-27,Manchester City FC (ENG),173,43,7,doku jeremy jeremy baffour doku doku,doku doku
Belgium,BEL,12,GK,LAMMENS Senne Senne LAMMENS LAMMENS,LAMMENS LAMMENS,2002-07-07,Manchester United FC (ENG),193,2,0,lammens senne senne lammens lammens,lammens lammens
Belgium,BEL,13,GK,PENDERS Mike Mike Louis PENDERS PENDERS,PENDERS PENDERS,2005-07-31,RC Strasbourg (FRA),200,0,0,penders mike mike louis penders penders,penders penders
Belgium,BEL,14,FW,LUKEBAKIO Dodi Dodi LUKEBAKIO NGANDOLI LUKEBAKIO,LUKEBAKIO NGANDOLI LUKEBAKIO,1997-09-24,SL Benca (POR),184,30,6,lukebakio dodi dodi lukebakio ngandoli lukebakio,lukebakio ngandoli lukebakio
Belgium,BEL,15,DF,MEUNIER Thomas Thomas Andre A MEUNIER MEUNIER,A MEUNIER MEUNIER,1991-09-12,Lille OSC (FRA),190,80,10,meunier thomas thomas andre a meunier meunier,a meunier meunier
Belgium,BEL,16,DF,DE WINTER Koni Koni DE WINTER DE WINTER,DE WINTER DE WINTER,2002-06-12,AC Milan (ITA),191,8,0,de winter koni koni de winter de winter,de winter de winter
Belgium,BEL,17,FW,DE KETELAERE Charles Charles Marc S DE KETELAERE DE KETELAERE,S DE KETELAERE DE KETELAERE,2001-03-10,Atalanta Bergamo (ITA),192,30,6,de ketelaere charles charles marc s de ketelaere de ketelaere,s de ketelaere de ketelaere
Belgium,BEL,18,DF,SEYS Joaquin Joaquin Ronny SEYS SEYS,SEYS SEYS,2005-03-28,Club Brugge (BEL),178,5,0,seys joaquin joaquin ronny seys seys,seys seys
Belgium,BEL,19,MF,MOREIRA Diego Diego Manuel J DA SILVA MOREIRA MOREIRA JR,J DA SILVA MOREIRA MOREIRA JR,2004-08-06,RC Strasbourg (FRA),179,3,0,moreira diego diego manuel j da silva moreira moreira jr,j da silva moreira moreira jr
Belgium,BEL,20,MF,VANAKEN Hans Hans VANAKEN VANAKEN,VANAKEN VANAKEN,1992-08-24,Club Brugge (BEL),195,34,7,vanaken hans hans vanaken vanaken,vanaken vanaken
Belgium,BEL,21,DF,CASTAGNE Timothy Timothy CASTAGNE CASTAGNE,CASTAGNE CASTAGNE,1995-12-05,Fulham FC (ENG),185,63,2,castagne timothy timothy castagne castagne,castagne castagne
Belgium,BEL,22,MF,SAELEMAEKERS Alexis Alexis Jesse M SAELEMAEKERS SAELEMAEKERS,M SAELEMAEKERS SAELEMAEKERS,1999-06-27,AC Milan (ITA),180,24,2,saelemaekers alexis alexis jesse m saelemaekers saelemaekers,m saelemaekers saelemaekers
Belgium,BEL,23,MF,RASKIN Nicolas Nicolas Thierry Y RASKIN RASKIN,Y RASKIN RASKIN,2001-02-23,Rangers FC (SCO),178,13,2,raskin nicolas nicolas thierry y raskin raskin,y raskin raskin
